ts_ms,symbol,asset,source,event_type,urgency,sentiment,abs_sentiment,confidence,hour,ret_1h,ret_4h,exc_1h,exc_4h
1775694468000,BTCUSDT,BTC,decrypt,geopolitical,2,1.0,1.0,0.3,0,-8.062467603642265e-05,0.0009689081032600022,0.0,0.0
1775694468000,BTCUSDT,ALL,decrypt,regulatory,2,-1.0,1.0,0.3,0,-8.062467603642265e-05,0.0009689081032600022,0.0,0.0
1775694471000,BTCUSDT,BTC,decrypt,geopolitical,2,1.0,1.0,0.3,0,-8.062467603642265e-05,0.0009689081032600022,0.0,0.0
1775695366000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.45,0.45,0.7,0,0.0012618779010502568,0.0002096297666918101,0.0,0.0
1775696444000,BTCUSDT,ALL,theblock,exchange,2,0.4,0.4,0.7,1,0.005530426912061515,0.003992811805234142,0.0,0.0
1775706125000,BTCUSDT,BTC,cointelegraph,macro,2,0.7,0.7,0.8,3,-0.0030193218847364145,0.00017598268860141708,0.0,0.0
1775716841000,BTCUSDT,ALL,cointelegraph,hack,2,-0.2,0.2,0.8,6,0.0004986610288937321,0.0064796335447496745,0.0,0.0
1775717386000,BTCUSDT,BTC,theblock,hack,3,-0.7,0.7,0.8,6,2.0287093365212172e-05,0.005017110895310317,0.0,0.0
1775724117000,BTCUSDT,ALL,cointelegraph,macro,2,0.7,0.7,0.8,8,0.0012266429887994867,-0.0014959095062444527,0.0,0.0
1775724127000,BTCUSDT,ALL,cointelegraph,macro,2,-0.2,0.2,0.6,8,0.0012266429887994867,-0.0014959095062444527,0.0,0.0
1775725557000,BTCUSDT,BTC,theblock,exchange,2,-0.2,0.2,0.8,9,0.0007032637691994914,-0.0029448469314719006,0.0,0.0
1775727102000,BTCUSDT,ALL,coindesk,regulatory,2,0.2,0.2,0.8,9,0.002175628246525285,-0.003898497823950575,0.0,0.0
1775727647000,BTCUSDT,ALL,cointelegraph,influencer,2,0.4,0.4,0.8,9,0.0007656075038784405,-0.006636105898527256,0.0,0.0
1775727657000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.3,0.3,0.7,9,0.0007656075038784405,-0.006636105898527256,0.0,0.0
1775734376000,BTCUSDT,ALL,coindesk,geopolitical,2,-0.45,0.45,0.7,11,-0.00037695221698630377,0.009912171397910896,0.0,0.0
1775734932000,BTCUSDT,BTC,cointelegraph,exchange,2,-0.2,0.2,0.8,11,-0.0007843640550074804,0.012559654003619691,0.0,0.0
1775737752000,BTCUSDT,BTC,coindesk,exchange,2,-0.4,0.4,0.8,12,-0.0034170990569845072,0.009935559464332666,0.0,0.0
1775737762000,BTCUSDT,BTC,decrypt,exchange,3,0.5,0.5,0.8,12,-0.0034170990569845072,0.009935559464332666,0.0,0.0
1775737842000,BTCUSDT,BTC,coindesk,macro,2,0.8,0.8,0.7,12,-0.002768685004631233,0.009956949681866112,0.0,0.0
1775738471000,BTCUSDT,ALL,cointelegraph,regulatory,2,-0.2,0.2,0.8,12,-0.003927568823796523,0.009368746141675377,0.0,0.0
1775740201000,BTCUSDT,ALL,theblock,regulatory,2,-0.4,0.4,0.8,13,-0.00725468041743782,0.01818084432029976,0.0,0.0
